time,open,high,low,close,Volume
1770154200,25424.75,25427.75,25400.25,25421.25,7076
1770159600,25387.5,25442,25362,25395,5191
1770161400,25397.25,25433.75,25385,25428,2067
1770163200,25427.75,25435.75,25390.25,25407.25,3417
1770165000,25409.75,25429.5,25375.75,25376.5,2301
1770166800,25377.5,25452,25377.5,25444.75,4173
1770168600,25444.25,25454.75,25414.5,25440.75,2430
1770170400,25441.5,25473.75,25414,25425.5,3103
1770172200,25423.25,25437.25,25399.5,25412.25,2033
1770174000,25412.75,25436.5,25402.25,25423.5,2165
1770175800,25423,25451.75,25411.5,25433.25,1985
1770177600,25433.5,25439.5,25418,25423.25,1055
1770179400,25425,25448,25423.5,25433.75,1402
1770181200,25434.5,25438.25,25416.5,25431.75,1045
1770183000,25432,25443.25,25408.75,25443,1316
1770184800,25442.5,25465.25,25435.5,25456,1894
1770186600,25456,25489.75,25447.75,25471.5,2460
1770188400,25470.75,25499,25469.25,25491.25,1973
1770190200,25490,25514.25,25474.75,25503,2960
1770192000,25502.25,25509.5,25410,25412.75,5319
1770193800,25412.25,25455.75,25400.75,25426.5,4013
1770195600,25427.75,25449.5,25358,25382.25,5457
1770197400,25382.75,25407.25,25354.5,25403.75,3327
1770199200,25402.25,25449.25,25395.25,25443.5,4127
1770201000,25443.75,25466.25,25434.5,25449.5,3651
1770202800,25450.75,25462.25,25436.75,25449.75,1973
1770204600,25449.5,25483.5,25445.25,25474.25,3960
1770206400,25474.75,25490.5,25419.5,25430.5,3367
1770208200,25430.5,25448,25396.75,25405.75,4266
1770210000,25406.25,25416.75,25369.5,25394.25,5537
1770211800,25391.75,25418,25342,25358,8889
1770213600,25356.25,25388.5,25325,25386,11489
1770215400,25385.5,25390,25186,25194.25,85490
1770217200,25194.25,25305,25108,25248.5,71744
1770219000,25248,25271,25119.5,25151.5,53842
1770220800,25152.25,25171.5,25041.5,25131.5,46842
1770222600,25130.75,25136.75,24928,25035.5,42954
1770224400,25035.75,25057.5,24874,24889.5,39756
1770226200,24889,24947,24783.5,24874.25,45025
1770228000,24873.75,24950,24819,24941.25,33688
1770229800,24942,24959.75,24833.75,24925,34990
1770231600,24923.5,24967.75,24863.75,24963.5,31177
1770233400,24963.25,25115.5,24959.5,25106.25,41169
1770235200,25106,25123.75,25020.5,25059.75,26213
1770237000,25059.25,25098.5,24979,24994.5,33642
1770238800,24998,25063.5,24876,25043.25,25142
1770240600,25042.25,25181.25,25036.25,25116.25,12789
1770246000,25061.75,25114,25055,25095.5,3568
1770247800,25093.75,25125,25042,25067,2814
1770249600,25067.5,25121,25030.75,25113.25,3755
1770251400,25114.5,25135.5,25102.25,25107.25,2267
1770253200,25109.25,25169,25099.25,25127,4595
1770255000,25133,25153.5,25116.5,25122.75,1927
1770256800,25124,25135,24959.25,25059.75,7618
